month,state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_
2025-03-01,Bihar,Begusarai,0.0,0.0,0.0,3601.0,28482.0,13077.0,12307.0
2025-03-01,Bihar,Bhagalpur,13.0,40.0,18.0,4949.0,37353.0,13344.0,11954.0
2025-03-01,Bihar,Bhojpur,0.0,0.0,0.0,2688.0,29327.0,5124.0,12146.0
2025-03-01,Bihar,Buxar,0.0,0.0,0.0,1661.0,18351.0,3200.0,5001.0
2025-03-01,Bihar,Darbhanga,0.0,0.0,0.0,2612.0,28474.0,13331.0,17721.0
2025-03-01,Bihar,East Champaran,0.0,0.0,0.0,4175.0,47030.0,13825.0,20084.0
2025-03-01,Bihar,Gaya,0.0,0.0,0.0,5828.0,49924.0,16486.0,21241.0
2025-03-01,Bihar,Gopalganj,0.0,0.0,0.0,2129.0,22709.0,6451.0,7603.0
2025-03-01,Bihar,Jamui,0.0,0.0,0.0,1393.0,15286.0,6531.0,6134.0
2025-03-01,Bihar,Jehanabad,0.0,0.0,0.0,988.0,8898.0,2391.0,4017.0
2025-03-01,Bihar,Kaimur (Bhabua),0.0,0.0,0.0,847.0,8728.0,6479.0,7450.0
2025-03-01,Bihar,Katihar,0.0,0.0,0.0,2845.0,33082.0,16676.0,16958.0
2025-03-01,Bihar,Khagaria,0.0,0.0,0.0,1450.0,12708.0,6128.0,6877.0
2025-03-01,Bihar,Kishanganj,0.0,0.0,0.0,1811.0,25016.0,7612.0,8682.0
2025-03-01,Bihar,Lakhisarai,0.0,0.0,0.0,777.0,7918.0,3715.0,3972.0
2025-03-01,Bihar,Madhepura,0.0,0.0,0.0,1283.0,17649.0,6355.0,11462.0
2025-03-01,Bihar,Madhubani,46.0,235.0,49.0,3407.0,41495.0,16996.0,20887.0
2025-03-01,Bihar,Munger,0.0,0.0,0.0,992.0,13363.0,3099.0,4705.0
2025-03-01,Bihar,Muzaffarpur,24.0,40.0,10.0,4456.0,42818.0,13651.0,18161.0
2025-03-01,Bihar,Nalanda,0.0,0.0,0.0,2310.0,21564.0,6154.0,11926.0
2025-03-01,Bihar,Nawada,0.0,0.0,0.0,1429.0,16428.0,6780.0,9577.0
2025-03-01,Bihar,Pashchim Champaran,25.0,88.0,13.0,0.0,0.0,0.0,0.0
2025-03-01,Bihar,Patna,12.0,52.0,16.0,4807.0,41971.0,11916.0,18174.0
2025-03-01,Bihar,Purbi Champaran,60.0,241.0,35.0,0.0,0.0,0.0,0.0
2025-03-01,Bihar,Purnea,0.0,0.0,0.0,0.0,0.0,112.0,435.0
2025-03-01,Bihar,Purnia,0.0,0.0,0.0,2194.0,26114.0,13497.0,17552.0
2025-03-01,Bihar,Rohtas,0.0,0.0,0.0,2121.0,19596.0,7472.0,9366.0
2025-03-01,Bihar,Saharsa,0.0,0.0,0.0,1584.0,18727.0,6272.0,12430.0
2025-03-01,Bihar,Samastipur,0.0,0.0,0.0,4382.0,44385.0,13667.0,19484.0
2025-03-01,Bihar,Saran,0.0,0.0,0.0,3695.0,41077.0,7779.0,13089.0
2025-03-01,Bihar,Sheikhpura,0.0,0.0,0.0,490.0,5055.0,1885.0,3455.0
2025-03-01,Bihar,Sheohar,0.0,0.0,0.0,778.0,7797.0,1803.0,3248.0
2025-03-01,Bihar,Sitamarhi,336.0,696.0,303.0,3044.0,36696.0,11896.0,16604.0
2025-03-01,Bihar,Siwan,0.0,0.0,0.0,2637.0,26684.0,6752.0,10438.0
2025-03-01,Bihar,Supaul,0.0,0.0,0.0,1661.0,29320.0,6821.0,11721.0
2025-03-01,Bihar,Vaishali,0.0,0.0,0.0,3660.0,39009.0,9704.0,16175.0
2025-03-01,Bihar,West Champaran,0.0,0.0,0.0,4317.0,42725.0,9731.0,15377.0
2025-03-01,Chandigarh,Chandigarh,0.0,0.0,0.0,1296.0,8949.0,3053.0,3377.0
2025-03-01,Chhattisgarh,Balod,0.0,0.0,0.0,827.0,10913.0,982.0,4832.0
2025-03-01,Chhattisgarh,Baloda Bazar,0.0,0.0,0.0,369.0,16044.0,1619.0,5092.0
2025-03-01,Chhattisgarh,Balrampur,0.0,0.0,0.0,392.0,4458.0,522.0,1411.0
2025-03-01,Chhattisgarh,Bastar,0.0,0.0,0.0,878.0,10394.0,990.0,4272.0
2025-03-01,Chhattisgarh,Bemetara,0.0,0.0,0.0,354.0,10548.0,1030.0,7139.0
2025-03-01,Chhattisgarh,Bijapur,66.0,31.0,63.0,294.0,3385.0,1452.0,1742.0
2025-03-01,Chhattisgarh,Bilaspur,0.0,0.0,0.0,1066.0,19431.0,2414.0,9589.0
2025-03-01,Chhattisgarh,Dakshin Bastar Dantewada,0.0,0.0,0.0,364.0,771.0,439.0,1084.0
2025-03-01,Chhattisgarh,Dantewada,0.0,0.0,0.0,162.0,243.0,189.0,525.0
2025-03-01,Chhattisgarh,Dhamtari,0.0,0.0,0.0,382.0,10273.0,748.0,5784.0
2025-03-01,Chhattisgarh,Durg,0.0,0.0,0.0,1512.0,10144.0,2548.0,10749.0
2025-03-01,Chhattisgarh,Gariyaband,0.0,0.0,0.0,122.0,5062.0,471.0,1694.0
2025-03-01,Chhattisgarh,Gaurela-Pendra-Marwahi,0.0,0.0,0.0,79.0,773.0,11.0,105.0
2025-03-01,Chhattisgarh,Janjgir-Champa,0.0,0.0,0.0,1438.0,30658.0,2728.0,10158.0
2025-03-01,Chhattisgarh,Jashpur,0.0,0.0,0.0,1352.0,6992.0,823.0,3469.0
2025-03-01,Chhattisgarh,Kabeerdham,0.0,0.0,0.0,215.0,3840.0,407.0,1250.0
2025-03-01,Chhattisgarh,Kanker,0.0,0.0,0.0,558.0,4198.0,547.0,2455.0
2025-03-01,Chhattisgarh,Kawardha,0.0,0.0,0.0,637.0,17645.0,712.0,3363.0
2025-03-01,Chhattisgarh,Kondagaon,0.0,0.0,0.0,114.0,1192.0,472.0,2224.0
2025-03-01,Chhattisgarh,Korba,0.0,0.0,0.0,223.0,4727.0,5729.0,6814.0
2025-03-01,Chhattisgarh,Koriya,0.0,0.0,0.0,413.0,3746.0,860.0,3347.0
2025-03-01,Chhattisgarh,Mahasamund,0.0,0.0,0.0,309.0,3131.0,1257.0,5727.0
2025-03-01,Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,0.0,0.0,0.0,14.0,54.0,0.0,0.0
2025-03-01,Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,0.0,0.0,0.0,99.0,611.0,22.0,123.0
2025-03-01,Chhattisgarh,Mungeli,0.0,0.0,0.0,278.0,15373.0,936.0,2497.0
2025-03-01,Chhattisgarh,Narayanpur,0.0,0.0,0.0,358.0,1920.0,504.0,1544.0
2025-03-01,Chhattisgarh,Raigarh,0.0,0.0,0.0,1833.0,19707.0,2241.0,7408.0
2025-03-01,Chhattisgarh,Raipur,49.0,15.0,36.0,1175.0,20034.0,2737.0,9682.0
2025-03-01,Chhattisgarh,Rajnandgaon,0.0,0.0,0.0,886.0,24246.0,1554.0,9521.0
2025-03-01,Chhattisgarh,Sakti,0.0,0.0,0.0,99.0,789.0,10.0,49.0
2025-03-01,Chhattisgarh,Sukma,0.0,0.0,0.0,260.0,1427.0,398.0,1033.0
2025-03-01,Chhattisgarh,Surajpur,0.0,0.0,0.0,570.0,7642.0,741.0,4336.0
2025-03-01,Chhattisgarh,Surguja,0.0,0.0,0.0,939.0,11184.0,981.0,3883.0
2025-03-01,Chhattisgarh,Uttar Bastar Kanker,0.0,0.0,0.0,128.0,1212.0,181.0,1236.0
2025-03-01,Dadra And Nagar Haveli,Dadra & Nagar Haveli,0.0,0.0,0.0,0.0,0.0,13.0,126.0
2025-03-01,Dadra And Nagar Haveli,Dadra And Nagar Haveli,0.0,0.0,0.0,49.0,593.0,932.0,2268.0
2025-03-01,Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,0.0,0.0,0.0,0.0,0.0,99.0,287.0
2025-03-01,Dadra And Nagar Haveli And Daman And Diu,Daman,0.0,0.0,0.0,34.0,572.0,20.0,53.0
2025-03-01,Dadra And Nagar Haveli And Daman And Diu,Diu,0.0,0.0,0.0,35.0,156.0,0.0,0.0
2025-03-01,Daman And Diu,Daman,0.0,0.0,0.0,18.0,186.0,402.0,468.0
2025-03-01,Daman And Diu,Diu,0.0,0.0,0.0,0.0,0.0,249.0,170.0
2025-03-01,Delhi,Central Delhi,0.0,0.0,0.0,1049.0,12943.0,2299.0,3805.0
2025-03-01,Delhi,East Delhi,0.0,0.0,0.0,1926.0,16285.0,4902.0,8233.0
2025-03-01,Delhi,Najafgarh,0.0,0.0,0.0,0.0,0.0,12.0,183.0
2025-03-01,Delhi,New Delhi,0.0,0.0,0.0,252.0,1390.0,392.0,294.0
2025-03-01,Delhi,North Delhi,0.0,0.0,0.0,965.0,11456.0,2600.0,4493.0
2025-03-01,Delhi,North East,0.0,0.0,0.0,23.0,2908.0,238.0,4421.0
2025-03-01,Delhi,North East Delhi,0.0,0.0,0.0,2275.0,15592.0,7096.0,6613.0
2025-03-01,Delhi,North West Delhi,35.0,15.0,10.0,6373.0,62825.0,15709.0,29195.0
2025-03-01,Delhi,Shahdara,0.0,0.0,0.0,660.0,4206.0,252.0,658.0
2025-03-01,Delhi,South Delhi,0.0,0.0,0.0,2881.0,36563.0,11377.0,16784.0
2025-03-01,Delhi,South East Delhi,0.0,0.0,0.0,0.0,0.0,19.0,40.0
2025-03-01,Delhi,South West Delhi,0.0,0.0,0.0,3502.0,32761.0,8641.0,11833.0
2025-03-01,Delhi,West Delhi,146.0,87.0,75.0,4328.0,45156.0,8635.0,15644.0
2025-03-01,Goa,North Goa,0.0,0.0,0.0,653.0,3568.0,1883.0,2559.0
2025-03-01,Goa,South Goa,0.0,0.0,0.0,570.0,2780.0,2154.0,2387.0
2025-03-01,Gujarat,Ahmadabad,0.0,0.0,0.0,0.0,0.0,41.0,733.0
2025-03-01,Gujarat,Ahmedabad,0.0,0.0,0.0,9162.0,55255.0,19111.0,29284.0
2025-03-01,Gujarat,Amreli,0.0,0.0,0.0,1128.0,7235.0,3463.0,3849.0
2025-03-01,Gujarat,Anand,0.0,0.0,0.0,1001.0,11416.0,5698.0,8373.0
2025-03-01,Gujarat,Arvalli,0.0,0.0,0.0,740.0,1351.0,1595.0,1109.0
2025-03-01,Gujarat,Banas Kantha,408.0,223.0,175.0,0.0,0.0,0.0,0.0
2025-03-01,Gujarat,Banaskantha,0.0,0.0,0.0,2962.0,12676.0,8364.0,10340.0
2025-03-01,Gujarat,Bharuch,0.0,0.0,0.0,2761.0,13952.0,4757.0,5176.0
2025-03-01,Gujarat,Bhavnagar,0.0,0.0,0.0,2409.0,14481.0,7812.0,10258.0
2025-03-01,Gujarat,Botad,0.0,0.0,0.0,721.0,1931.0,1347.0,831.0
2025-03-01,Gujarat,Chhotaudepur,0.0,0.0,0.0,740.0,2493.0,1551.0,1799.0
2025-03-01,Gujarat,Dahod,0.0,0.0,0.0,2071.0,11658.0,6531.0,7658.0
2025-03-01,Gujarat,Devbhumi Dwarka,0.0,0.0,0.0,167.0,1511.0,1829.0,932.0
2025-03-01,Gujarat,Dohad,32.0,37.0,41.0,42.0,920.0,192.0,1688.0
2025-03-01,Gujarat,Gandhinagar,0.0,0.0,0.0,1801.0,12352.0,4273.0,5905.0
2025-03-01,Gujarat,Gir Somnath,0.0,0.0,0.0,933.0,2191.0,2574.0,1707.0
2025-03-01,Gujarat,Jamnagar,0.0,0.0,0.0,1436.0,11597.0,4794.0,5215.0
2025-03-01,Gujarat,Junagadh,0.0,0.0,0.0,1663.0,9295.0,3500.0,8433.0
2025-03-01,Gujarat,Kachchh,33.0,13.0,10.0,2113.0,10502.0,9380.0,6902.0
2025-03-01,Gujarat,Kheda,0.0,0.0,0.0,3116.0,17120.0,6929.0,10058.0
2025-03-01,Gujarat,Mahesana,0.0,0.0,0.0,2590.0,12569.0,5066.0,7773.0
2025-03-01,Gujarat,Mahisagar,0.0,0.0,0.0,238.0,1710.0,1999.0,1808.0
2025-03-01,Gujarat,Morbi,36.0,12.0,23.0,552.0,2353.0,2220.0,1289.0
2025-03-01,Gujarat,Narmada,0.0,0.0,0.0,955.0,3082.0,2020.0,4588.0
2025-03-01,Gujarat,Navsari,0.0,0.0,0.0,2844.0,8310.0,2369.0,2679.0
2025-03-01,Gujarat,Panchmahals,0.0,0.0,0.0,878.0,6690.0,3743.0,9258.0
2025-03-01,Gujarat,Patan,141.0,26.0,23.0,988.0,6330.0,3086.0,4716.0
2025-03-01,Gujarat,Porbandar,0.0,0.0,0.0,829.0,3297.0,1770.0,2266.0
2025-03-01,Gujarat,Rajkot,0.0,0.0,0.0,2099.0,22508.0,9086.0,10727.0
2025-03-01,Gujarat,Sabarkantha,0.0,0.0,0.0,2777.0,10632.0,4116.0,6512.0
2025-03-01,Gujarat,Surat,0.0,0.0,0.0,7172.0,56297.0,15243.0,18852.0
2025-03-01,Gujarat,Surendra Nagar,0.0,0.0,0.0,1653.0,12061.0,7191.0,7521.0
2025-03-01,Gujarat,Tapi,0.0,0.0,0.0,1115.0,3072.0,1872.0,3805.0
2025-03-01,Gujarat,The Dangs,0.0,0.0,0.0,484.0,1400.0,1614.0,2487.0
2025-03-01,Gujarat,Vadodara,36.0,43.0,10.0,3492.0,27140.0,7894.0,17180.0
2025-03-01,Gujarat,Valsad,0.0,0.0,0.0,3409.0,11950.0,4860.0,6790.0
2025-03-01,Haryana,Ambala,0.0,0.0,0.0,516.0,4084.0,2853.0,6773.0
2025-03-01,Haryana,Bhiwani,0.0,0.0,0.0,601.0,5350.0,4091.0,8113.0
2025-03-01,Haryana,Charkhi Dadri,0.0,0.0,0.0,312.0,2114.0,238.0,857.0
2025-03-01,Haryana,Faridabad,80.0,60.0,10.0,2675.0,21482.0,5798.0,8083.0
2025-03-01,Haryana,Fatehabad,0.0,0.0,0.0,802.0,7118.0,3580.0,6150.0
2025-03-01,Haryana,Gurgaon,0.0,0.0,0.0,2270.0,19163.0,3789.0,4611.0
2025-03-01,Haryana,Gurugram,18.0,19.0,13.0,0.0,0.0,0.0,0.0
2025-03-01,Haryana,Hisar,0.0,0.0,0.0,1003.0,9821.0,4202.0,7560.0
2025-03-01,Haryana,Jhajjar,0.0,0.0,0.0,808.0,5900.0,2471.0,3813.0
2025-03-01,Haryana,Jind,0.0,0.0,0.0,673.0,5955.0,3562.0,7112.0
2025-03-01,Haryana,Kaithal,0.0,0.0,0.0,969.0,8135.0,3091.0,6501.0
2025-03-01,Haryana,Karnal,0.0,0.0,0.0,1203.0,9116.0,3424.0,8201.0
2025-03-01,Haryana,Kurukshetra,0.0,0.0,0.0,636.0,4982.0,2920.0,6507.0
2025-03-01,Haryana,Mahendragarh,0.0,0.0,0.0,478.0,4766.0,1721.0,3292.0
2025-03-01,Haryana,Mewat,0.0,0.0,0.0,814.0,7691.0,2592.0,2905.0
2025-03-01,Haryana,Palwal,0.0,0.0,0.0,1067.0,9937.0,2662.0,3033.0
2025-03-01,Haryana,Panchkula,0.0,0.0,0.0,1000.0,5478.0,1692.0,2763.0
2025-03-01,Haryana,Panipat,0.0,0.0,0.0,393.0,2836.0,3293.0,6275.0
